ID,Transect,Visit,
2-1,2,1,
5-1,5,1,
7-1,7,1,
11-1,11,1,
12-1,12,1,
13-1,13,1,
16-1,16,1,
18-1,18,1,
20-1,20,1,
21-1,21,1,
23-1,23,1,
24-1,24,1,
25-1,25,1,
27-1,27,1,
29-1,29,1,
31-1,31,1,
32-1,32,1,
33-1,33,1,
33-2,33,2,
33-3,33,3,
35-1,35,1,
36-1,36,1,
39-1,39,1,
39-2,39,2,
40-1,40,1,
41-1,41,1,
42-1,42,1,
43-1,43,1,
45-1,45,1,
47-1,47,1,
48-1,48,1,
51-1,51,1,
51-2,51,2,
51-3,51,3,
53-1,53,1,
54-1,54,1,
56-1,56,1,
57-1,57,1,
58-1,58,1,
58-2,58,2,
59-1,59,1,
62-1,62,1,
63-1,63,1,
65-1,65,1,
65-2,65,2,
66-1,66,1,
67-1,67,1,
68-1,68,1,
69-1,69,1,
70-1,70,1,
72-1,72,1,
73-1,73,1,
74-1,74,1,
75-1,75,1,
76-1,76,1,
80-1,80,1,
81-1,81,1,
81-2,81,2,
82-1,82,1,
83-1,83,1,
84-1,84,1,
86-1,86,1,
87-1,87,1,
88-1,88,1,
89-1,89,1,
89-2,89,2,
90-1,90,1,
90-2,90,2,
91-1,91,1,
91-2,91,2,
91-3,91,3,
94-1,94,1,
95-1,95,1,
96-1,96,1,
97-1,97,1,
97-2,97,2,
97-3,97,3,
98-1,98,1,
99-1,99,1,
102-1,102,1,
105-1,105,1,
107-1,107,1,
108-1,108,1,
109-1,109,1,
112-1,112,1,
115-1,115,1,
117-1,117,1,
118-1,118,1,
119-1,119,1,
121-1,121,1,
123-1,123,1,
126-1,126,1,
128-1,128,1,
129-1,129,1,
130-1,130,1,
132-1,132,1,
137-1,137,1,
138-1,138,1,
142-1,142,1,
143-1,143,1,
144-1,144,1,
145-1,145,1,
148-1,148,1,
149-1,149,1,
151-1,151,1,
152-1,152,1,
155-1,155,1,
156-1,156,1,
158-1,158,1,
159-1,159,1,
160-1,160,1,
160-2,160,2,
161-1,161,1,
162-1,162,1,
165-1,165,1,
166-1,166,1,
167-1,167,1,
169-1,169,1,
171-1,171,1,
172-1,172,1,
173-1,173,1,
174-1,174,1,
175-1,175,1,
176-1,176,1,
177-1,177,1,
178-1,178,1,
180-1,180,1,
181-1,181,1,
182-1,182,1,
183-1,183,1,
184-1,184,1,
186-1,186,1,
187-1,187,1,
188-1,188,1,
189-1,189,1,
189-2,189,2,
189-3,189,3,
190-1,190,1,
191-1,191,1,
192-1,192,1,
192-2,192,2,
193-1,193,1,
194-1,194,1,
195-1,195,1,
196-1,196,1,
197-1,197,1,
198-1,198,1,
200-1,200,1,
202-1,202,1,
202-2,202,2,
202-3,202,3,
203-1,203,1,
203-2,203,2,
205-1,205,1,
206-1,206,1,
208-1,208,1,
210-1,210,1,
211-1,211,1,
211-2,211,2,
212-1,212,1,
213-1,213,1,
213-2,213,2,
215-1,215,1,
215-2,215,2,
216-1,216,1,
218-1,218,1,
219-1,219,1,
219-2,219,2,
219-3,219,3,
220-1,220,1,
222-1,222,1,
223-1,223,1,
223-2,223,2,
224-1,224,1,
224-2,224,2,
225-1,225,1,
226-1,226,1,
226-2,226,2,
227-1,227,1,
227-2,227,2,
229-1,229,1,
230-1,230,1,
230-2,230,2,
231-1,231,1,
231-2,231,2,
232-1,232,1,
234-1,234,1,
234-2,234,2,
235-1,235,1,
238-1,238,1,
238-2,238,2,
241-1,241,1,
242-1,242,1,
242-2,242,2,
242-3,242,3,
244-1,244,1,
246-1,246,1,
247-1,247,1,
247-2,247,2,
249-1,249,1,
250-1,250,1,
250-2,250,2,
253-1,253,1,
253-2,253,2,
254-1,254,1,
254-2,254,2,
260-1,260,1,
260-2,260,2,
260-3,260,3,
261-1,261,1,
265-1,265,1,
265-2,265,2,
266-1,266,1,
267-1,267,1,
268-1,268,1,
269-1,269,1,
269-2,269,2,
269-3,269,3,
273-1,273,1,
274-1,274,1,
274-2,274,2,
279-1,279,1,
279-2,279,2,
281-1,281,1,
282-1,282,1,
283-1,283,1,
284-1,284,1,
285-1,285,1,
286-1,286,1,
287-2,287,2,
288-1,288,1,
290-1,290,1,
292-1,292,1,
294-1,294,1,
295-1,295,1,
297-1,297,1,
298-1,298,1,
298-2,298,2,
298-3,298,3,
300-1,300,1,
301-1,301,1,
302-1,302,1,
303-1,303,1,
304-1,304,1,
305-1,305,1,
306-1,306,1,
307-1,307,1,
308-1,308,1,
309-1,309,1,
310-1,310,1,
311-1,311,1,
312-1,312,1,
313-1,313,1,
314-1,314,1,
317-1,317,1,
318-1,318,1,
320-1,320,1,
321-1,321,1,
323-1,323,1,
325-1,325,1,
170-1,170,1,
